YSO-URI	NorthSámi	Finnish	Swedish	English	
http://www.yso.fi/onto/yso/p11715	adnon biillat	käytetyt autot	begagnade bilar	used cars	
http://www.yso.fi/onto/yso/p23494	Adobe Bridge	Adobe Bridge	Adobe Bridge	Adobe Bridge	
http://www.yso.fi/onto/yso/p3727	adopšuvdna	adoptio	adoption	adoption	
http://www.yso.fi/onto/yso/p38196	adopšuvdnadoarjja	adoptiotuki	adoptionsbidrag	adoption grant	
http://www.yso.fi/onto/yso/p26692	adopšuvdnaláhka	adoptiolaki	adoptionslag (2012)	Adoption Act (2012)	
http://www.yso.fi/onto/yso/p28482	adopšuvdnamánát	adoptiolapset	adoptivbarn	adopted children	
http://www.yso.fi/onto/yso/p28735	adopšuvdnavánhemat	adoptiovanhemmat	adoptivföräldrar	adoptive parents	
http://www.yso.fi/onto/yso/p39756	adposišuvnnat	adpositiot	adpositioner	adpositions	
http://www.yso.fi/onto/yso/p21639	adrenaliidna	adrenaliini	adrenalin	adrenaline	
http://www.yso.fi/onto/yso/p23950	adrenarke	adrenarke	adrenarke	adrenarche	
http://www.yso.fi/onto/yso/p16432	adveanta	adventti	advent	Advent	
http://www.yso.fi/onto/yso/p17599	advearbbat	adverbit	adverb	adverbs	
http://www.yso.fi/onto/yso/p14598	adventisma	adventismi	adventism	Adventism	
http://www.yso.fi/onto/yso/p38387	adventisttat	adventistit	adventister	Adventists	
http://www.yso.fi/onto/yso/p13565	adverbiála	adverbiaali	adverbial	adverbial	
http://www.yso.fi/onto/yso/p27801	advertoriálat	advertoriaalit	redaktionella annonser	advertorials	
http://www.yso.fi/onto/yso/p2656	advokáhtadoaimmahagat	asianajotoimistot	advokatbyråer	law firms	
http://www.yso.fi/onto/yso/p2495	advokáhtat	asianajajat	advokater	advocates (lawyers)	
http://www.yso.fi/onto/yso/p24767	aerobalaš hárjehallan	aerobinen harjoittelu	aerob träning	aerobic training	
http://www.yso.fi/onto/yso/p8600	aerobic	aerobic	aerobics	aerobics	
http://www.yso.fi/onto/yso/p16235	aerobiologiija	aerobiologia	aerobiologi	aerobiology	
http://www.yso.fi/onto/yso/p20101	aerodynamihkka	aerodynamiikka	aerodynamik	aerodynamics	
http://www.yso.fi/onto/yso/p24834	aeroekologiija	aeroekologia	aeroekologi	aeroecology	
http://www.yso.fi/onto/yso/p38027	aerogelat	aerogeelit	aerogeler	aerogels	
http://www.yso.fi/onto/yso/p23553	aerogeofysihkka	aerogeofysiikka	flyggeofysik	aerogeophysics	
http://www.yso.fi/onto/yso/p5392	aerologiija	aerologia	aerologi	aerology	
http://www.yso.fi/onto/yso/p3384	aeromekanihkka	aeromekaniikka	aeromekanik	aeromechanics	
http://www.yso.fi/onto/yso/p7133	aeronomiija	aeronomia	aeronomi	aeronomy	
http://www.yso.fi/onto/yso/p15192	aerosolafysihkka	aerosolifysiikka	aerosolfysik	aerosol physics	
http://www.yso.fi/onto/yso/p9802	aerosolat	aerosolit	aerosoler	aerosols	
http://www.yso.fi/onto/yso/p3383	aerostatihkka	aerostatiikka	aerostatik	aerostatics	
http://www.yso.fi/onto/yso/p38727	afargiella	afarin kieli	afar (språk)	Afar language	
http://www.yso.fi/onto/yso/p13492	afasiija	afasia	afasi	aphasia	
http://www.yso.fi/onto/yso/p11268	affektiivvalašvuohta	affektiivisuus	affektivitet	affectivity	
http://www.yso.fi/onto/yso/p2836	affivssat	affiksit	affix	affixes	
http://www.yso.fi/onto/yso/p22518	afganlaččat	afganistanilaiset	afghaner	Afghans	
http://www.yso.fi/onto/yso/p23018	aflatoksiinnat	aflatoksiinit	aflatoxiner	aflatoxins	
http://www.yso.fi/onto/yso/p15630	aforismmat	aforismit	aforismer	aphorisms	
http://www.yso.fi/onto/yso/p1680	afrihkálaččat	afrikkalaiset	afrikaner	Africans	
http://www.yso.fi/onto/yso/p16830	afrihkálašvuohta	afrikkalaisuus	afrikansk identitet	African identity	
http://www.yso.fi/onto/yso/p29328	afrikánsagielat girjjálašvuohta	afrikaansinkielinen kirjallisuus	litteratur på afrikaans	Afrikaans language literature	
http://www.yso.fi/onto/yso/p20545	afrikánsagiella	afrikaansin kieli	afrikaans	Afrikaans language	
http://www.yso.fi/onto/yso/p12789	afroamerihkálaččat	afroamerikkalaiset	afroamerikaner	African Americans	
http://www.yso.fi/onto/yso/p9797	afroamerihkálaš girjjálašvuohta	afroamerikkalainen kirjallisuus	afroamerikansk litteratur	African American literature	
http://www.yso.fi/onto/yso/p4485	afroamerihkálaš musihkka	afroamerikkalainen musiikki	afroamerikansk musik	Afro-American music	
http://www.yso.fi/onto/yso/p24749	afroásialaš gielat	afroaasialaiset kielet	afroasiatiska språk	Afroasiatic languages	
http://www.yso.fi/onto/yso/p30059	afrocubalaš jazz	afrokuubalainen jazz	afrokubansk jazz	Afro-Cuban jazz	
http://www.yso.fi/onto/yso/p27800	afrodánsa	afrotanssi	afrodans	afro dance	
http://www.yso.fi/onto/yso/p29904	afrorock	afro-rock	afrorock	Afro rock	
http://www.yso.fi/onto/yso/p25531	afrosentrisma	afrosentrismi	afrocentrism	Afrocentrism	
http://www.yso.fi/onto/yso/p39877	afrosuopmelaččat	afrosuomalaiset	afrofinländare	African Finns	
http://www.yso.fi/onto/yso/p5056	agáiduvvan	ikääntyminen	åldrande	ageing	
http://www.yso.fi/onto/yso/p4637	agáiduvvi bargit	ikääntyvät työntekijät	äldre arbetstagare	ageing employees	
http://www.yso.fi/onto/yso/p22378	agálašvuohta	ikuisuus	evigheten	eternity	
http://www.yso.fi/onto/yso/p29604	agape	agape	agape	agape	
http://www.yso.fi/onto/yso/p6260	agape-terapiija	agape-terapia	agape-terapi	agape therapy	
http://www.yso.fi/onto/yso/p23547	ageantateoriija	agenttiteoria	agentteorin	agency theory	
http://www.yso.fi/onto/yso/p20559	Agenda 2000	Agenda 2000	Agenda 2000	Agenda 2000	
http://www.yso.fi/onto/yso/p12366	Agenda 21	Agenda 21	Agenda 21	Agenda 21	
http://www.yso.fi/onto/yso/p4045	agentuvrrat	agentuurit	agenturer	agencies	
http://www.yso.fi/onto/yso/p15203	ággaras	ankerias	ål	Anguilla anguilla	
http://www.yso.fi/onto/yso/p22748	aggregáhtat (rusttegat)	aggregaatit (laitteet)	aggregat (anordningar)	aggregate units	
http://www.yso.fi/onto/yso/p6586	aggressiivalašvuohta	aggressiivisuus	aggressivitet	aggressiveness	
http://www.yso.fi/onto/yso/p3483	aggrešuvnnat	aggressiot	aggressioner	aggressions	
http://www.yso.fi/onto/yso/p20612	agibeaiduollu	ikirouta	permafrost	permafrost	
http://www.yso.fi/onto/yso/p20913	agibeaifáŋgavuohta	elinkautinen vankeus	livstidsfängelse	life imprisonment	
http://www.yso.fi/onto/yso/p8941	agility	agility	agility	agility	
http://www.yso.fi/onto/yso/p22317	agitáhtorat	agitaattorit	agitatorer	agitators	
http://www.yso.fi/onto/yso/p23939	agitašuvdna	agitaatio	agitation	agitation (provocation)	
http://www.yso.fi/onto/yso/p20369	aglykonat	aglykonit	aglykoner	aglycones	
http://www.yso.fi/onto/yso/p25278	agnosiija	agnosia	agnosi	agnosia	
http://www.yso.fi/onto/yso/p11676	agnostisisma	agnostisismi	agnosticism	agnosticism	
http://www.yso.fi/onto/yso/p2010	agoartabálká	urakkapalkka	ackordslön	piecework pay	
http://www.yso.fi/onto/yso/p14482	agoartabargit	urakoitsijat	entreprenörer	contractors	
http://www.yso.fi/onto/yso/p7501	agoartasoahpamušat	urakkasopimukset	entreprenadavtal	piecework contracts	
http://www.yso.fi/onto/yso/p30063	agogihkka	agogiikka	agogik	agogic	
http://www.yso.fi/onto/yso/p23290	agroekologiija	agroekologia	agroekologi	agroecology	
http://www.yso.fi/onto/yso/p15105	agrologat	agrologit	agrologer	Bachelors of Agriculture and Forestry	
http://www.yso.fi/onto/yso/p36645	Agronet (portála)	Agronet (portaali)	Agronet (portal)	Agronet (portal)	
http://www.yso.fi/onto/yso/p19951	agronomat	agronomit	agronomer	agronomists	
http://www.yso.fi/onto/yso/p20782	áhcagastinlámppát	hehkulamput	glödlampor	incandescent light bulbs	
http://www.yso.fi/onto/yso/p3300	áhččebealit	isäpuolet	styvfäder	stepfathers	
http://www.yso.fi/onto/yso/p28117	áhččivuođaláhka	isyyslaki	lag om faderskap	Paternity Act	
http://www.yso.fi/onto/yso/p15334	áhččivuohta	isyys	faderskap	paternity	
http://www.yso.fi/onto/yso/p18236	áhčiidbeaivi	isänpäivä	fars dag	Father's Day	
http://www.yso.fi/onto/yso/p7721	áhčiidluopmu	isyysvapaa	faderskapsledighet	paternity leave	
http://www.yso.fi/onto/yso/p9408	áhčiidruhta	isyysraha	faderskapspenning	paternity allowance	
http://www.yso.fi/onto/yso/p11063	áhčit	isät	fäder	fathers	
http://www.yso.fi/onto/yso/p19694	áhkabittut	simput	simpor	Cottidae	
http://www.yso.fi/onto/yso/p9134	ahkeerohus	ikäero	åldersskillnad	age difference	
http://www.yso.fi/onto/yso/p5593	ahkejoavkkut	ikäryhmät	åldersgrupper	age groups	
http://www.yso.fi/onto/yso/p27738	ahkekriissat	ikäkriisit	ålderskriser	age crises	
http://www.yso.fi/onto/yso/p21486	ahkepolitihkka	ikäpolitiikka	ålderspolitik	age policy	
http://www.yso.fi/onto/yso/p5057	ahkeráhkadat	ikärakenne	åldersstruktur	age structure	
http://www.yso.fi/onto/yso/p12689	ahkerájit	ikärajat	åldersgränser	age limits	
http://www.yso.fi/onto/yso/p19313	ahkevealaheapmi	ikäsyrjintä	åldersdiskriminering	age discrimination	
http://www.yso.fi/onto/yso/p1229	ahki	ikä	ålder	age	
http://www.yso.fi/onto/yso/p4012	ahkodagat	ikäkaudet	åldersstadier	stages of life	
http://www.yso.fi/onto/yso/p14644	áhkut	isoäidit	far- och mormödrar	grandmothers	
http://www.yso.fi/onto/yso/p2208	áhkut ja ádját	isovanhemmat	far- och morföräldrar	grandparents	
http://www.yso.fi/onto/yso/p337	áhpáiduvvan	palautuminen	återhämtning	recovery (return)	
http://www.yso.fi/onto/yso/p9434	áhpat	apinat	apor	apes	
http://www.yso.fi/onto/yso/p2237	áhpehisvuođa eastadeapmi	raskauden ehkäisy	antikonception	contraception	
http://www.yso.fi/onto/yso/p8749	áhpehisvuohta	raskaus	graviditet	pregnancy	
http://www.yso.fi/onto/yso/p15049	áhpelottit	ulappalinnut	stormfåglar	Procellariiformes	
http://www.yso.fi/onto/yso/p16780	áhperávnnjit	merivirrat	havsströmmar	sea currents	
http://www.yso.fi/onto/yso/p135	áhppi	jaksaminen	ork	managing	
http://www.yso.fi/onto/yso/p339	áhtan	toipuminen	bli återställd	return to health	
http://www.yso.fi/onto/yso/p12790	áibbašeapmi	kaipaus	längtan	longing	
http://www.yso.fi/onto/yso/p28374	áibmoakrobatiija	ilma-akrobatia	luftakrobatik	aerial acrobatics	
http://www.yso.fi/onto/yso/p16977	áibmodasmeahcit	erämaat	vildmarker	wildernesses	
