alkeiskasvusolukko	álgošaddanseallat (pl.)							
alkeisrakkula, alkiorakko	ogiáhta							
alkio	ogiálgu							
alkoholiongelma	jugešvuohta			alkoholaváttisvuohta, alkoholisma				
alkoholisti	alkoholista			juhkki				
alkueläin	álgoealli,=							
alkulima	álgošliivi							
alkuperä	(álgo)boahtimuš:-šš-,-š-			álgoboahtin:m, álgovuođđu, álgovuolgga,-lg-:g				
alkuperäinen	álgovulggolaš, álgovuolggalaš			álgovuđolaš				
allergeeni	allergena							
allergia	allergiija	allergi						
allergisoida, allergistaa	allergastit			allergiseret				
allergisoiva	allergiserejeaddji			allergasti				
altistaa	hearkudit	(pre)disponere, utsette for		suojehuhttit, bostit				
altistua	hearkut 			bosttáhallat, suojehuvvat				
aluepelastustoimi	guovllugádjundoaibma	distriktreddningverksamhet						
aluesairaala	guovllubuohcceviessu	distriktsykehus						
amalgaami	amalgáma				eallisilbaseaguhus			
ambivalenssi	ambivaleansa			guovtteárvosašvuohta, goapposjuohkáseapmi				
ambivalentti	ambivalenta	ambivalent		guovtteárvosaš, ruossalas dovdduid gohccáheaddji				
ambulanssi	ambulánsa	ambulans						
ameeba	ameba			mikroálgoealli				
amfetamiin	amfetamiidna	amfetamin						amphetaminum
aminohappo	aminosivra							
amnesia	amnesiija	amnesi		muittohuvvan				
ampiainen	vievssis	veps						
ampulli	ampulla	ampulle		suhkkolgalljun; suhkkoldálkkas				ampulla
amputaatio	amputašuvdna			(	eret)botken, eretčuohppan, rastačuohppan			
anaerobinen bakteeri	anaerobalaš baktera							bacteria anaerobios 
anatomia	anatomiija	anatomi						
aneeminen	anemalaš	anemisk						
anemia	anemiija	anemi		varrasonahat				
angiina	angiidna			angina, čottavuolši				angina
annos (lääke-)	attus	dose		dálkkasmearri				dosis
annos (ruoka-, juoma-)	doarvi			borrandoarvi, juhkandoarvi				
annosmäärä (lääkkeen)	attusmearri							
annospulevri	attusbulvvar,-r-	dosepulver						
annostella	attostallat	dosere		attostit, merret, doset, doseret				
annostus	dálkkasmearri	dosering		dálkkasattosteapmi				
anoa	ánuhit							
anoja	ánuheaddji							
anoreksia	anoreksiija			boruhisvuohta, borranlusttuhisvuohta				anorexia
antasidi	antasida	syrenøytraliserende medisin		suvrrehuhtti dálkkas				
antibiootti	antibiohta	antibiotika						antibioticum
antibioottitipat	antibiohtagoaikkanasat							
antidootti	antidohta			vuostemirkko, -mirko, -mirku				antidoticum
antihistamiini	antihistamiidna	antihistamin		histamiinna vuosteváikkuheaddji				
antipatia	antipatiija			vuostemielatvuohta				antipathia
antiseptinen	antiseptalaš					dakkár, mii goddá unna ealániid		
anus	anus			bahtaráigi				anus
aortta	váldováibmosuotna							aorta
aorttaläppä	aortauvssot:h							valvula aortae
apaattinen	apáhtalaš			šlundi				
apea	šlundi							
apeus	šlundivuohta							
apeutuminen	šlundun							
apnea	apnea			vuoigŋanbisáneapmi, vuoiŋŋatkeahtesvuohta				apnoea
apteekki	apoteika 	apotek		apotehka, apteaika, apteika				apotheke
apuväline	veahkkenavvu			veahkkebierggas				
arastella, arkailla	ujostallat			rašásit				
aristua	árástuvvat			raššut				
arkuus, pelkuruus	árgodat			árgivuohta				
arpeutua (haavasta)	savvot							
arpi	hávvesadji			árpa, uddu				
arterioskleroosi	arteriosklerosa			aterosklerosa, váibmosuonagarrandávda				arteriosclerosis, aterosclerosis
asbestikeuhko	asbeastageahppát							
asbestoosi	asbestosa			asbeastagavjageahppát				asbestosis
asenne	miellaguoddu	attityd	attitude					
asennus	bidjan			sadjáibidjan				
asentaa (esim. Proteesi)	stellet			bidjat 				
asetyylisalisyylihappo	asetylasalisyvdnasivra			aspiriidna				
asiakas	áššehas			earánasti, earándoaimmaheaddji				
asiallinen kohtelu	áššálaš gieđahallan							
asianmukainen hoito	áššáigullevaš dikšu							
asianomainen	áššáigullevaš			áššáiguskkolaš				
asianosainen	áššáiosolaš			áššeosolaš				
asikloviiri	asikloviira							
astma	ástmá	astma		ásmá				asthma
astmaatikko	ástmá+B185buohcci							
astmakohtaus	ástmádohppehallan			ástmavuohkku				
asuinhuoneisto	orrunlanjat			ássanlanjat				
asuinrakennus	orrunvisti			ássanvisti				
asumus	orrunviessu			ássanluggu				
asunto	orrunviessu			ássanlanjat				
asunto-osakeyhtiö	ássanoasusfitnodat							
asuntopula	ássanviessovátni			ásodatváilun, ásodatváili				
ateria	boradeapmi	måltid		boradandoarvi				cibus
atlasnikama	biehtarasdilljá			bieddarasdilljá, biettarasdilljá				atlas
atoopikko	atopihkkár							
atooppinen	atohpalaš			hearkunihttomat				
aueta (haavasta)	irdašuvvat							
auraoireet	auraovdasat							
aurinkosuoja	beaivvášsuodji	solbeskyttelse						
aurinkosuojakerroin	beaivvášsuodjegerddon	solfaktor						
aurinkovoide	beaivvášvuoiddas	solkrem						
autismi	autisma							
avioehto	náittoseaktu							
avioero	náittosearru							
avohoito	veaittalasdikšu			veaiddalasdikšu, E464veaiddatdikšun, luomosdikšu				
avohuolto	veaiddatfuolahus							
avoin päiväkerho	rabas beaiveriekkis							
avopalvelu	veaittalasbálvalus							
avotyötoiminta	veaiddatbargodoaibma							
avustaja	veahkki			veahkeheaddji				
avustava työ	veahkeheaddji bargu							
avustuskohde	doarjjačuozáhat			veahkkečuozus				
avustuslaina	veahkkeloatna							
avuttomuus	geahnohisvuohta			ráđehisvuohta				
bakteeriperäinen	bakteravulggolaš							
